Name       RA      Dec  perr  T90  flu fle   P1 p1e  Phi  Sp     Phie
200612A	302.691	-45.354	1.5	171.48	38	2	0.7	0.2	1.34  PL	0.09
200608A	309.628	-31.194	2.3	119.2	15	2	0.7	0.3	2.05  PL	0.22
200529A	238.756	-11.076	1.2	79.57	32	2	1.8	0.3	1.89  PL	0.10
200528A	176.637	58.185	1.0	58.7	180	0	17.5	0.5	1.62  CPL	0.14
200522A	5.668	-0.264	1.6	0.62	1.1	0.1	1.5	0.2	1.45  PL	0.17
200519A	255.319	-30.393	1.0	71.88	120	2	20.6	0.5	1.42  PL	0.03
200512A	7.417	-2.217	1.5	74.0	8.1	1.0	0.4	0.1	1.68  PL	0.18
200509A	116.415	-4.634	1.7	828.2	73	4	1.5	0.2	1.67  PL	0.09
200425A	85.217	-13.399	2.0	81.0	12	2	0.7	0.2	1.30  PL	0.21
200416A	335.691	-7.525	1.4	5.04	8.7	0.8	3.8	0.5	1.76  PL	0.15
200411A	47.686	-52.320	1.6	0.22	0.86	0.11	1.1	0.2	0.95  PL	0.19
200410A	299.644	51.745	2.9	108.8	12	2	1.8	0.3	1.41  PL	0.31
200409A	60.555	-50.243	2.7	17.91	2.3	0.6	1.2	0.2	2.14  PL	0.44
200405B	62.7894	-51.5326 4	NA	NA	NA	NA	NA	NA	NA NA 
200325A	31.7203	-31.816	4	NA	NA	NA	NA	NA	NA	NA  NA 
200324A	222.682	35.931	1.1	NA	23	2	0.7	0.2	1.72  PL	0.15
200306C	198.577	11.263	1.3	53.5	28	2	1.3	0.3	0.83  PL	0.12
200306A	101.114	-62.010	1.0	32.87	100	2	7.0	0.3	1.06  CPL	0.15
200303A	212.695	51.358	1.0	94.2	130	0.0	5.0	0.3	1.39  PL	0.17
200228B	252.007	16.964	2.5	7.37	3.0	0.6	1.0	0.4	2.27  PL	0.36
200228A	333.898	-42.944	3	NA	NA	NA	NA	NA	NA	NA  NA
200227A	56.433	9.489	1.0	32.8	71	2	5.7	0.4	1.15  CPL	0.19
200224A	248.743	41.666	3.5	45.0	2.9	0.9	0.4	0.1	1.69  PL	0.51
200219A	342.595	-59.101	2.4	288.0	7.4	1.1	2.4	0.2	1.47  PL	0.25
200216B	160.452	19.468	1.0	81.3	16	1	1.5	0.2	0.81  CPL	0.52
200216A	311.437	-11.658	3	NA	NA	NA	NA	NA	NA	NA NA
200215A	34.100	12.775	1.0	11.7	11	1	2.7	0.2	1.41  PL	0.09
200205B	107.760	-56.488	1.8	458.0	54	2	2.0	0.2	1.36  CPL	0.22
200131A	3.067	51.121	1.2	32.74	70	1	26.9	0.6	1.32  PL	0.04
200127A	295.206	44.934	2.4	216.9	24	3	0.7	0.2	1.64  PL	0.19
200125A	228.069	-8.142	1.8	350.83	87	4	4.0	0.2	1.95  PL	0.08
200122A	210.010	27.548	1.0	174.96	110	3	9.1	0.4	1.60  PL	0.05
200115A	56.453	5.607	1.1	158.4	100	0.0	3.6	0.3	1.29  CPL	0.24
200109A	307.116	52.988	1.2	112.0	21	2	0.7	0.2	1.31  PL	0.14
200107B	107.067	-83.716	1.2	86.68	30	2	1.9	0.2	1.41  PL	0.10
191228A	5.341	-8.650	2.4	166.9	20	2	0.6	0.2	2.06  PL	0.14
191227A	319.172	-16.717	1.2	58.5	250	10	21.8	1.3	1.30  PL	0.05
191221B	154.831	-38.152	1.1	48.00	190	10	4.8	0.7	1.24  PL	0.05
191220A	281.335	26.679	3.0	175.55	11	3	1.1	0.4	2.12  PL	0.40
191218A	301.070	-40.277	1.4	44.67	78	4	6.3	0.9	1.12  PL	0.10
191213A	224.530	-9.745	2.2	NA	    21	2	0.5	0.2	1.49  PL	0.16
191130A	133.137	5.017	1.7	17.6	6.86	0.6	1.1	0.2	1.95  PL	0.13
191123A	215.289	22.823	2.2	275.1	12	2	1.2	0.2	1.67  PL	0.25
191122A	54.290	-32.176	1.0	153.3	66	3	3.1	0.4	1.24  CPL	0.28
191106A	269.356	46.046	1.7	3.42	3.2	0.3	1.1	0.2	0.89  PL	0.17
191101A	251.845	43.740	1.7	137.95	19	2	1.3	0.3	1.78  PL	0.18
191031D	283.269	47.645	1.4	0.29	4.1	0.4	4.3	0.4	0.80  PL	0.15
191031C	115.880	-62.322	1.3	93.2	72	3	4.6	0.5	1.60  PL	0.07
191031A	233.490	6.109	2.0	19.1	9.0	1.1	1.0	0.2	1.38  PL	0.19
191029A	352.140	-40.464	1.8	39.5	11	1	1.1	0.3	1.77  PL	0.21
191024A	10.129	-67.138	1.3	7.08	4.7	0.4	1.6	0.2	1.78  PL	0.14
191019A	340.035	-17.340	1.0	64.35	100	3	5.7	0.4	2.25  PL	0.05
191017B	245.131	-73.583	1.8	5.95	5.6	0.7	1.9	0.3	1.82  PL	0.20
191016A	30.268	24.508	1.5	219.70	65	4	1.5	0.2	1.55  PL	0.09
191011A	44.729	-27.853	1.5	7.37	3.3	0.4	1.8	0.2	1.94  PL	0.17
191004B	49.200	-39.637	1.0	37.7	25	1	5.0	0.2	1.10  PL	0.08
191004A	31.716	-36.932	1.1	2.44	13	1	7.8	0.5	1.35  PL	0.08
191001B	86.423	-15.880	3.6	108.9	46	3	1.8	0.4	1.58  PL	0.11
190926A	100.616	59.531	2.3	368.9	25	2	0.6	0.2	2.14  PL	0.18
190829A	44.542	-8.958	1.9	58.2	64	7	18.0	2.7	2.56  PL	0.21
190828B	251.838	27.287	1.0	66.6	42	2	2.3	0.2	1.29  PL	0.07
