Name	TrTime
200612A	04:39:37
200608A	17:28:38
200529A	00:56:35
200528A	10:27:23
200522A	11:41:34
200519A	11:20:23
200512A	20:33:15
200509A	06:47:17
200425A	00:16:21
200416A	07:05:17
200411A	04:29:02
200410A	02:25:10
200409A	03:19:59
200405B	n/a
200325A	n/a
200324A	16:39:07
200306C	22:50:39
200306A	00:19:40
200303A	02:34:57
200228B	11:14:41
200228A	n/a
200227A	07:20:08
200224A	03:24:49
200219A	07:36:49
200216B	13:32:33
200216A	n/a
200215A	14:39:31
200205B	19:21:43
200131A	22:41:15
200127A	14:44:31
200125A	11:31:39
200122A	01:41:00
200115A	11:50:23
200109A	01:46:16
200107B	19:26:28
191228A	00:01:19
191227A	01:39:37
191221B	20:39:13
191220A	13:29:37
191218A	02:42:43
191213A	04:06:23
191130A	13:05:02
191123A	10:38:44
191122A	13:32:56
191106A	14:15:23
191101A	21:08:03
191031D	21:23:31
191031C	18:43:54
191031A	00:36:33
191029A	11:15:20
191024A	04:42:52
191019A	15:12:33
191017B	14:36:06
191016A	04:09:00
191011A	04:35:56
191004B	21:33:41
191004A	18:07:02
191001B	17:19:20
190926A	09:52:16
190829A	19:56:44.60
190828B	12:59:59.42
190824A	14:46:39
190821A	17:10:03
190816A	14:42:24
190727B	20:18:17
190719C	14:58:34
190718A	04:41:15
190706B	12:40:50
190701A	09:45:20
190630C	23:52:59
190630B	06:02:08
190627A	11:18:31
190613B	10:47:02
190613A	04:07:18
190611A	17:49:01
190610A	11:27:45
190604B	14:57:15
190519A	07:25:39
190515B	16:04:21
190512A	14:40:09
190511A	07:14:48
190427A	04:34:15
190424A	10:00:43
190422A	22:55:29
190331B	03:59:05
190331A	02:14:37.50
190326A	07:35:28
190324A	22:44:01
190320A	01:14:36
190311A	14:23:33
190220A	02:59:34
190219A	19:38:58
190211A	16:54:44
190204A	05:46:01
190203A	15:44:08
190202A	01:39:30
190123A	12:19:13
190114C	20:57:03
190114B	19:31:12
190114A	03:10:49
190110A	17:24:48
190109B	11:56:09
190109A	05:12:41
190106A	13:34:44
190103B	21:03:51
181228A	02:53:17
181224A	13:36:51
