gcn_number grb_id T90 T90err
7979 080714 33 9
7992 080721 16.2 4.5
8007 080723 17.3 3
8019 080725 120 75
8029 080727A 4.9 1
8030 080727B 8.6 0.2
8044 080727C 79.7 8.8
8052 080802 176 50
8067 080804 34 16
8068 080805 78 7
8082 080810 106 5
8128 080822B 64 20
8176 080903 66 11
8187 080905A 1 0.1
8188 080905B 128 16
8196 080906 147 21
8222 080913 8 1
8230 080915 14 5
8236 080915B 3.9 0.7
8243 080916A 60 7
8250 080916B 32 8
8275 080919 0.6 0.1
8338 081007 10 4.5
8351 081008 185.5 40.3
8357 081011 9 2
8363 081012 29 4
8387 081016B 2.6 0.8
8390 081017 320 50
8397 081022 160 40
8404 081024 1.8 0.6
8415 081025 23 2
8428 081028 260 40
8447 081029 270 45
8468 081102 63 16
8479 081104 59.1 13.9
8507 081109A 190 60
8526 081118 67 28
8539 081121 14 2
8557 081126 54 4
8563 081127 37 10
8574 081128 100 11
8599 081203A 294 71
8649 081210 146 8
8658 081211 3.5 0.9
8708 081221 34 1
8709 081222 24 3
8735 081226A 0.4 0.1
8749 081228 3 1.4
8759 081230 60.7 13.8
8769 090102 27 2.2
8783 090107 12.2 0.7
8800 090111 24.8 2.7
8808 090113 9.1 0.9
8844 090123 131 23
8862 090129 17.5 2.7
8870 090201 83 4
8886 090205 8.8 1.8
8923 090301A 41 2.2
8936 090305 0.4 0.1
8945 090307 22 8
8949 090308 48 22
8967 090309 3 1.4
8986 090313 78 19
9064 090401 112 15
9068 090401B 183 39
9089 090404 84 14
9104 090407 310 70
9123 090410 165 8
9138 090417A 0.072 0.018
9157 090418 56 5
9167 090419 450 50
9195 090422 8.5 0.4
9204 090423 10.3 1.1
9231 090424 48 3
9263 090426 1.2 0.3
9289 090429A 188 37
9290 090429B 5.5 1
9337 090510 0.3 0.1
9349 090509 335 32
9364 090515 0.036 0.016
9384 090516 210 65
9393 090518 6.9 1.7
9406 090519 64 10
9434 090529 NA NA
9443 090530 48 36
9460 090531 32 6
9465 090531B 80 23
9494 090607 2.3 0.1
9530 090618 113.2 0.6
9546 090621A NA NA
9551 090621B 0.14 0.04
9593 090628 20.1 4.6
9623 090708 15 3.9
9640 090709A 89 3
9641 090709B 27.2 6.6
9660 090712 145 52
9672 090715B 266 11
9680 090715A 63 18
9716 090726 67 15.2
9724 090727 302 23
9736 090728 59 18
9749 090807 140.8 13.1
9756 090809 5.4 1.3
9775 090812 66.7 14.7
9788 090813 7.1 0.6
9799 090814A 80 8
9863 090831C 3.3 1
9888 090904A 122 10
9890 090904B 47 1.7
9909 090912 144 22.6
9915 090916 63.4 15.2
9939 090926B 109.7 11.3
9955 090927 2.2 0.4
9979 090929B 360 20
9980 090929A 7 2
10040 091018 4.4 0.6
10051 091020 34.6 2.7
10072 091024 109.8 16.7
10089 091026 41.6 7.2
10103 091029 39.2 5
10121 091102 6.6 0.5
10136 091104 99.3 20
10141 091109 48 17
10152 091109B 0.3 0.03
10165 091112 17 4
10180 091117 0.43 0.05
10197 091127 7.1 0.2
10221 091130B 112.5 17.1
10264 091208A 29.1 2.5
10265 091208B 14.9 3.7
10291 091221 68.5 5.5
10322 100111A 12.9 2.1
10338 100117A 0.3 0.05
10351 100119A 23.8 4
10371 100205A 26 8
10379 100206A 0.12 0.03
10404 100212A 136 14
10417 100213B 48 16
10424 100213A 2.4 0.4
10434 100219A 18.8 5
